,Identifier (RIC),Company Name,Country of Exchange,GICS Industry Name,GICS Sub-Industry Name,Exchange Name,Instrument Type,Ticker Symbol,EPS FY1 2020-11-30,EPS FY1 2020-08-31,EPS FY1 2020-05-31,EPS FY1 2020-02-29,EPS FY1 2019-11-30,EPS FY1 2019-08-31,EPS FY1 2019-05-31,EPS FY1 2019-02-28,EPS FY1 2018-11-30,EPS FY1 2018-08-31,EPS FY1 2018-05-31,EPS FY1 2018-02-28,EPS FY1 2017-11-30,EPS FY1 2017-08-31,EPS FY1 2017-05-31,EPS FY2 2020-11-30,EPS FY2 2020-08-31,EPS FY2 2020-05-31,EPS FY2 2020-02-29,EPS FY2 2019-11-30,EPS FY2 2019-08-31,EPS FY2 2019-05-31,EPS FY2 2019-02-28,EPS FY2 2018-11-30,EPS FY2 2018-08-31,EPS FY2 2018-05-31,EPS FY2 2018-02-28,EPS FY2 2017-11-30,EPS FY2 2017-08-31,EPS FY2 2017-05-31,Revenue FY1 2020-11-30,Revenue FY1 2020-08-31,Revenue FY1 2020-05-31,Revenue FY1 2020-02-29,Revenue FY1 2019-11-30,Revenue FY1 2019-08-31,Revenue FY1 2019-05-31,Revenue FY1 2019-02-28,Revenue FY1 2018-11-30,Revenue FY1 2018-08-31,Revenue FY1 2018-05-31,Revenue FY1 2018-02-28,Revenue FY1 2017-11-30,Revenue FY1 2017-08-31,Revenue FY1 2017-05-31,Revenue FY2 2020-11-30,Revenue FY2 2020-08-31,Revenue FY2 2020-05-31,Revenue FY2 2020-02-29,Revenue FY2 2019-11-30,Revenue FY2 2019-08-31,Revenue FY2 2019-05-31,Revenue FY2 2019-02-28,Revenue FY2 2018-11-30,Revenue FY2 2018-08-31,Revenue FY2 2018-05-31,Revenue FY2 2018-02-28,Revenue FY2 2017-11-30,Revenue FY2 2017-08-31,Revenue FY2 2017-05-31
ABCB,ABCB.OQ,Ameris Bancorp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,ABCB,2.47833,2.28667,3.5252,3.816,3.7942,3.9428,4.0825,3.279,3.30567,3.481,3.53975,2.47833,2.535,2.6,2.58667,2.91,2.68417,3.6166,4.21217,4.25857,4.642,4.725,4.16725,4.24667,4.29833,4.3258,3.26833,3.15333,3.22833,3.18667,1030157600,867430400,837586000,702547600,691768170,699115000,740129000,465941200,477832800,474687750,483119800,372235800,373281200,374581200,380184200,945339600,844704000,830818000,851453800,855881500,880700600,897482800,767734670,585546800,594497800,588041800,447408400,421640600,420343600,426992200
ABTX,ABTX.OQ,Allegiance Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,ABTX,1.7325,1.4475,1.6375,2.4225,2.5675,2.68,2.866,1.66667,2.53,2.44,2.5025,1.825,1.875,1.955,1.9075,1.8075,1.48,1.6375,2.4575,2.67,2.925,3.13,2.9525,3.1125,3.1375,3.01,2.4575,2.4375,2.4175,2.375,213572500,207579250,183030250,192538750,195393500,198752500,203328400,134946400,136831500,128343330,126919000,113247000,111930500,111984500,109165000,212022750,204166250,187587750,195694250,204526750,213966750,222616400,195241000,203133330,205172000,145615000,130197250,127597750,127671250,124319000
ACBI,ACBI.OQ,Atlantic Capital Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,ACBI,0.74833,0.765,0.975,1.18333,1.114,1.14,1.31167,1.011,1.01667,0.995,0.9276,0.60333,0.67667,0.66,0.71333,1.08167,1,1.08,1.23,1.21,1.304,1.46833,1.298,1.13917,1.15567,1.1545,0.80667,0.90333,0.90333,0.96167,99340000,95200000,88920000,91753800,92131800,92709000,94238500,103644400,104502800,105678000,104636000,97080000,100322800,99220800,103742750,97280000,94760000,91420000,93166800,95112800,97808800,101818200,99152400,112133000,114378600,114065800,104660000,111319400,112236600,117864250
ACNB,ACNB.OQ,ACNB Corp,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,ACNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAL,AMAL.OQ,Amalgamated Bank,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,AMAL,1.25975,1.1625,1.382,1.48025,1.4465,1.43833,1.40283,,1.35,,,,,,,1.2234,1.082,1.424,1.57,1.5504,1.68,1.67333,1.45967,1.41833,,,,,,,206052600,201145200,195637600,195299000,194216800,197103000,195474000,178213200,175322170,,,,,,,201359200,199666400,202795000,201293200,201388800,212050000,212204170,193970800,189776830,,,,,,
AMNB,AMNB.OQ,American National Bankshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,AMNB,2.52667,2.51333,2.26,2.075,2.1,3.01,2.97,2.70333,2.72333,2.63333,2.58333,2.04,2.00667,2.00667,1.99333,2.07667,2.03,2.18667,2.95,3.05333,3.24,3.26,2.99667,2.9,2.91667,2.91667,2.36333,2.39667,2.34333,2.33,98757670,100638330,93412330,92700000,93366670,93711000,94714670,73200000,73732670,73341330,74166670,69766670,69769330,69114000,69366670,94417330,93928000,92825670,99497500,101487330,103046000,105053330,96366670,77731670,78483670,79300000,74933670,76244330,75859000,76133330
AMRB,AMRB.OQ,American River Bankshares,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,AMRB,1.15,0.95,0.99667,0.95333,0.90333,0.91,1.00333,0.88333,0.90667,0.89667,0.91667,0.73,0.79333,0.78333,0.85,1.06333,0.90667,1.08,1.09667,1.03,1.015,1.18,1.04333,1.04333,1.02333,1.04,0.82667,0.86,0.86667,0.93333,28010500,27200000,26062000,24771500,24639500,24906000,24768500,22072500,21915000,21394500,21449000,20954500,21382500,21511000,22750000,26266000,25905500,26345000,26208000,26014000,26488500,26386500,23623500,23995000,23273500,22367500,21665000,22377500,22510500,23836500
AMTB,AMTB.OQ,Amerant Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,AMTB,-0.39,0.472,0.6625,1.194,1.26133,1.27425,1.247,,,,,,,,,0.285,0.34025,0.816,1.031,1.2834,1.4825,1.5024,,,,,,,,,257379500,252447670,243954330,265994500,269932500,274170500,274203000,,,,,,,,,234505670,247096330,247808670,257128000,267494000,281182000,287535000,,,,,,,,
AROW,AROW.OQ,Arrow Financial Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,AROW,2.3,2.30097,2.35922,2.38835,2.38835,2.39419,2.39419,2.36591,2.41598,2.34277,2.31531,1.9035,1.91024,1.85694,1.8747,2.3,2.33981,2.30097,2.61165,2.56386,2.56386,2.56386,2.44132,2.49834,2.48004,2.48004,2.31531,2.15014,2.15014,2.15014,127000000,124830000,119540000,116500000,115800000,115100000,115800000,112500000,114000000,112800000,113600000,105300000,105300000,103900000,103800000,123470000,122480000,121010000,122800000,121400000,121300000,122400000,117000000,120800000,86400000,87700000,110400000,110100000,109900000,110000000
ASB,ASB.N,Associated Banc-Corp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,ASB,1.572,1.08429,1.4221,1.91425,1.9299,2.02223,2.07829,2.009,2.01733,1.97,1.75936,1.5,1.43333,1.44625,1.40875,0.963,1.4005,1.5171,1.8153,1.93318,2.11208,2.15186,2.0542,2.126,2.09133,1.9404,1.66429,1.55846,1.60438,1.59438,1232219630,1191278500,1187391000,1228625890,1242379300,1272626420,1287129540,1248298230,1268385620,1260458850,1221767930,1096088080,1090795430,1093058290,1100428270,1079215780,1119219000,1206857330,1224105780,1281315500,1327635670,1339256690,1288297000,1323837790,1319030290,1282412500,1251657920,1241826500,1160176430,1164581470
