,,symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
USB,0,USB,2024-12-31,22644727803.0,24278883418.0,23345080210.0,13716900373,13716900373,13716900374,8728197972,8728197972,8728197972,7021964250,7021964250,7021964251,14512127161,14512127161,14512127162,6.384516523268049,6.639897184198771,6.192981027570007,10.0,12.0
USB,1,USB,2023-12-31,22492469232.0,24115637115.0,23188112610.0,14159217050,13240763337,13474031741,9009648403,8425227315,8573658284,7248395281,6778219880,6897634788,14980086809,14008386445,14255178407,5.035801786252184,5.287591875564794,4.884727732664619,10.0,12.0
USB,2,USB,2022-12-31,21579010910.0,24741120000.0,23377683436.0,13552414540,13699531682,13500613587,8623534027,8717146104,8590572573,6937760560,7013072860,6911242584,14338105388,14493751533,14283301315,4.01172,4.7145,3.2869199999999994,13.0,15.0
USB,3,USB,2021-12-31,20960730000.0,23774160000.0,22794995606.0,12939405293,13291799129,13261129573,8233470242,8457701890,8438186551,6623948481,6804346156,6788645777,13689557399,14062380998,14029933398,2.8535429000000003,3.6750000000000003,1.8816,22.0,26.0
USB,4,USB,2020-12-31,21743326000.0,24007962360.0,23072405936.0,13200252661,13738675687,13328615895,8399449976,8742053817,8481128758,6757481630,7033111484,6823193417,13965527194,14535164882,14101332187,2.5257575,3.1605,1.4602,22.0,26.0
USB,5,USB,2019-12-31,22246950000.0,23601367920.0,23379465431.0,12683585825,12664700960,12668494616,8897272475,8884025134,8886686305,7275299087,7264466738,7266642777,14192779773,14171647837,14175892892,4.3771178,4.588500000000001,4.2042,20.0,24.0
USB,6,USB,2018-12-31,21698675930.0,23054040000.0,22830444785.0,10180303336,10157787889,10165222391,7717359840,7700291606,7705927462,6383735997,6369617295,6374279228,14557956970,14525759608,14536391035,4.1425149999999995,4.389,3.9787999999999997,24.0,28.0
USB,7,USB,2017-12-31,21135330000.0,22505280000.0,22270707100.0,10444789430,10088968820,10368688917,8476521311,8187753307,8414761557,6157897283,5948117393,6113030974,13440070989,12982210704,13342146918,3.4509377,3.6750000000000003,3.2634,26.0,31.0
USB,8,USB,2016-12-31,20208980000.0,22277820000.0,21450884830.0,10348764083,10137893304,10336450119,8429760153,8257991807,8419729606,6171676206,6045919531,6164332547,12663536329,12405498775,12648468024,3.2670773,3.4859999999999998,3.0968,29.0,33.0
USB,9,USB,2015-12-31,19250620000.0,21662760000.0,20457973503.0,10043826460,10447896160,10031535277,8117710529,8444291326,8107776439,5940803540,6179805947,5933533452,12127321395,12615211458,12112480525,3.1867722,3.3600000000000003,3.038,29.0,34.0
TFC,0,TFC,2024-12-31,20589215283.0,22075034942.0,21225995137.0,7815891509,7815891509,7815891509,6756736496,6756736496,6756736496,5090668850,5090668850,5090668850,8125232021,8125232021,8125232021,6.149419266819902,6.395396037492699,5.964936688815305,8.0,9.0
TFC,1,TFC,2023-12-31,20810008193.0,22311761361.0,21453616694.0,8229539864,7667882787,7801698094,7114330117,6628784883,6744466474,5360087483,4994267386,5081424355,8555251919,7971365350,8110476854,5.194158801492913,5.453866741567559,5.038334037448125,8.0,9.0
TFC,2,TFC,2022-12-31,20238780340.0,23288742000.0,22008934387.0,7886352029,8138902875,7985670235,6817648700,7035975620,6903507996,5136561400,5301053540,5201249618,8198481257,8461027662,8301730318,4.4311629,4.83,3.7534,11.0,12.0
TFC,3,TFC,2021-12-31,20317620000.0,22653996000.0,21819877057.0,7819454961,8049380653,7882383736,6759817055,6958584823,6814218162,5092989809,5242745670,5133976759,8128936509,8367962293,8194355905,3.3100123999999997,4.2525,2.597,19.0,24.0
TFC,4,TFC,2020-12-31,21112050000.0,22867380000.0,22492036538.0,8149604139,8086299460,8139696121,7045226723,6990500651,7036661371,5308023518,5266791732,5301570199,8472152464,8406342286,8461852303,3.2163955000000004,3.6225000000000005,2.695,19.0,24.0
TFC,5,TFC,2019-12-31,12043520000.0,13146984000.0,12846361375.0,6622158070,6673663021,6591145659,4436627354,4471133971,4415850061,3537281464,3564793267,3520715923,8193554655,8257281408,8155183193,4.1098617,4.5360000000000005,3.8808,18.0,23.0
TFC,6,TFC,2018-12-31,11021140000.0,11938080000.0,11811140879.0,4857306739,4804013300,4815933408,3441713296,3403951477,3412397638,2477288524,2450108189,2456187596,8269011111,8178285104,8198577730,4.0195778,4.2315000000000005,3.8611999999999997,22.0,27.0
TFC,7,TFC,2017-12-31,10650600000.0,11664694500.0,11512097570.0,4878187221,4954691577,4968780485,3568907875,3624878871,3635186392,2473763001,2512558897,2519703482,7436584323,7553211888,7574689816,2.81285,3.2865,2.6852,27.0,31.0
TFC,8,TFC,2016-12-31,10444960000.0,11262840000.0,11083982263.0,4561117903,4463251116,4557459269,3265778332,3195705327,3263158735,2333178623,2283116182,2331307098,7494384695,7333579521,7488373183,2.8111633,2.9715000000000003,2.6557999999999997,30.0,34.0
TFC,9,TFC,2015-12-31,9329460000.0,10280580000.0,9908183720.0,4370462489,4294748883,4335660233,3180648548,3125547201,3155320852,2291217356,2251524457,2272972255,6574334507,6460441167,6521982686,2.6564313,2.961,2.5088,30.0,36.0
PNC,0,PNC,2024-12-31,16180244459.0,17347890967.0,16680664391.0,10747263996,10747263997,10747263996,6112188052,6112188052,6112188052,5064249636,5064249636,5064249636,10843474362,10843474363,10843474362,7.797437981913782,8.109335501190333,7.563514842456368,9.0,10.0
PNC,1,PNC,2023-12-31,16118260929.0,17281434398.0,16616763845.0,11283404733,10332347261,10502527643,6417102215,5876216450,5973001501,5316886078,4868735511,4948926706,11384414673,10424843260,10596547110,8.512973286012567,8.938621950313197,8.257584087432189,9.0,10.0
PNC,2,PNC,2022-12-31,15169490500.0,17761260000.0,16801404711.0,10599990157,10463044404,10794651886,6028430419,5950546578,6139138511,4994852302,4930321694,5086579423,10694882116,10556710414,10891286472,9.3871117,10.909500000000001,7.869399999999999,12.0,13.0
PNC,3,PNC,2021-12-31,15125712460.0,17941800000.0,16450808983.0,10303091270,10975479016,10429627798,5859577972,6241978586,5931541874,4854949712,5171787504,4914575358,10395325367,11073732381,10522994660,7.238579100000001,10.269,5.7722,20.0,24.0
PNC,4,PNC,2020-12-31,15522910000.0,17284920000.0,16677974134.0,10340148690,10821809438,10558985717,5880653283,6154583566,6005110360,4872411647,5099376415,4975530482,10432714528,10918687142,10653510602,13.528071299999999,15.120000000000001,12.38132,20.0,24.0
PNC,5,PNC,2019-12-31,17104980000.0,18198840000.0,17996883637.0,10586176904,10533575192,10560075551,6631060723,6598111609,6614711132,5468458757,5441286503,5454975686,11156646191,11101209872,11129138285,11.468247,12.043500000000002,11.0544,20.0,24.0
PNC,6,PNC,2018-12-31,16581180000.0,17729640000.0,17488891910.0,10004771575,9966481791,9983430276,5814141626,5791890021,5801739410,5653167213,5631531682,5641108374,11495902979,11451906409,11471380930,10.8687413,11.382,10.4664,24.0,28.0
PNC,7,PNC,2017-12-31,15656770000.0,16805520000.0,16549177718.0,8333295894,8193597506,8214734323,5716218768,5620392752,5634891538,4247173397,4175974284,4186746939,10746883031,10566723553,10593982264,8.494554500000001,8.925,8.1438,27.0,31.0
PNC,8,PNC,2016-12-31,14388010000.0,15706980000.0,15427596070.0,7759412343,7611402743,7636717331,5620292486,5513086269,5531422115,4190470483,4110537901,4124209044,9917923076,9728740215,9761096807,7.256143000000001,7.612500000000001,6.9678,28.0,34.0
PNC,9,PNC,2015-12-31,14097980000.0,15689640000.0,15359480760.0,7237990019,7447275111,7434833572,5428734264,5585705073,5576373504,4045925216,4162912367,4155957738,9438880505,9711803923,9695579225,7.375484600000001,7.7595,6.791399999999999,30.0,35.0
FRC,0,FRC,2024-12-31,5444854203.0,5837781826.0,5613251755.0,3544549070,3544549070,3544549069,1925431713,1925431713,1925431713,1580681304,1580681304,1580681304,3751772768,3751772769,3751772768,7.6065732361169385,7.910836165561617,7.37837603903343,9.0,10.0
FRC,1,FRC,2023-12-31,4931763618.0,5287664085.0,5084292390.0,3503829224,2957125853,3170640645,1903312318,1606338009,1722321212,1562522408,1318721636,1413937934,3708672332,3130007239,3356004670,6.974980236585176,7.323729248414435,6.76573082948762,9.0,10.0
FRC,2,FRC,2022-12-31,4102875930.0,5212224480.0,4674256685.0,2820545797,3002986743,2921276236,1532146465,1631250068,1586864167,1257814159,1339173167,1302734604,2985442352,3178549277,3092061758,6.4597883000000005,7.308,5.71144,12.0,13.0
FRC,3,FRC,2021-12-31,3806598160.0,4542045720.0,4187181022.0,2499489264,2758258201,2592856326,1357745598,1498311269,1408463446,1114639937,1230037189,1156276705,2645616006,2919513259,2744441553,5.5823609,6.5625,3.626,20.0,23.0
FRC,4,FRC,2020-12-31,3616936000.0,3910854420.0,3835291261.0,2350427267,2401320232,2373112276,1276773748,1304419275,1289096454,1048166175,1070861744,1058282489,2487839451,2541707753,2511850686,5.451929499999999,5.859,5.0764,20.0,23.0
FRC,5,FRC,2019-12-31,3210312000.0,3397620000.0,3371578685.0,1862071725,1859069243,1862575439,1154317799,1152456528,1154630056,937101359,935590337,937354857,2187168723,2183642041,2187760380,5.1316181,5.407500000000001,4.9098,18.0,22.0
FRC,6,FRC,2018-12-31,2925035000.0,3100698000.0,3071140309.0,1369915749,1364191262,1365927048,988161486,984032242,985284316,820750702,817321019,818360972,1841258645,1833564552,1835897563,4.7945205,5.0504999999999995,4.5962000000000005,20.0,24.0
FRC,7,FRC,2017-12-31,2700189000.0,2874360000.0,2843342053.0,1300280158,1282690363,1285627965,999470275,985949745,988207755,813284825,802282955,804120334,1671884181,1649267440,1653044572,4.5900662,4.8195,4.380599999999999,22.0,23.0
FRC,8,FRC,2016-12-31,2235850000.0,2412708000.0,2381218420.0,1087977725,1090203379,1089612845,827179538,828871683,828422705,625347721,626626982,626287555,1378554317,1381374398,1380626145,3.9434238,4.1475,3.7239999999999998,22.0,24.0
FRC,9,FRC,2015-12-31,1866862000.0,2010420000.0,1985256262.0,1031213285,991046662,1000881797,781861455,751407295,758864252,568393086,546253699,551674714,1142855257,1098340086,1109240000,3.1540583,3.3285,2.9596,21.0,22.0
SIVB,0,SIVB,2024-12-31,3716673649.0,3984887212.0,3831622319.0,2260537183,2260537184,2260537184,1959228338,1959228338,1959228338,1383108371,1383108371,1383108371,2077575120,2077575121,2077575121,23.80589419544116,24.758129963258806,23.091717369577925,6.0,6.0
SIVB,1,SIVB,2023-12-31,3581031074.0,3839455997.0,3691784612.0,2284461092,2091362705,2158288151,1979963409,1812603264,1870608163,1397746201,1279599065,1320547361,2099562689,1922093189,1983601862,20.983797809558414,22.032987700036337,20.354283875271662,6.0,6.0
SIVB,2,SIVB,2022-12-31,3308670000.0,3874980000.0,3610406135.0,2200393690,2051918668,2079825840,1907101420,1778416754,1802604157,1346309611,1255465254,1272540241,2022299487,1885841650,1911490088,18.866175000000002,22.8585,14.7,10.0,10.0
SIVB,3,SIVB,2021-12-31,2828793540.0,3552691620.0,3265707456.0,1801250661,1936905360,1905615759,1561160491,1678733664,1651614680,1102094179,1185094428,1165949904,1655462068,1780137224,1751380123,15.426286200000002,20.11485,7.3107999999999995,19.0,23.0
SIVB,4,SIVB,2020-12-31,3084600000.0,3602640000.0,3365996794.0,1989626218,1996436353,1906348148,1724427316,1730329722,1652249448,1217351655,1221518432,1166398016,1828590991,1834849931,1752053235,14.748027,17.64,11.475800000000001,19.0,23.0
SIVB,5,SIVB,2019-12-31,2880635190.0,3352944000.0,3280744305.0,1896502753,1803687818,1819734758,1771320637,1684632121,1699619854,1265662556,1203720971,1214430162,1658450216,1577285584,1591318283,21.796604400000003,23.3415,20.478080000000002,17.0,21.0
SIVB,6,SIVB,2018-12-31,2216450000.0,2712614520.0,2630797663.0,1205069597,1278229482,1282044174,1113152882,1180732495,1184256221,624265461,662164674,664140810,1403732491,1488953219,1493396786,18.247749,19.404,17.2088,22.0,23.0
SIVB,7,SIVB,2017-12-31,1741538000.0,2009400000.0,1942994646.0,856470979,880481570,869073354,759162669,780445287,770333220,453513299,466227241,460186432,1145353802,1177463030,1162206887,9.83688,10.542,9.2218,21.0,22.0
SIVB,8,SIVB,2016-12-31,1469550000.0,1649340000.0,1615768857.0,785037367,692445866,727184618,725610704,640028302,672137360,413437993,364674908,382969986,1052691775,928531684,975114432,7.3350036,7.6965,6.7326,19.0,20.0
SIVB,9,SIVB,2015-12-31,1222394000.0,1555398000.0,1450947574.0,491480876,571491366,544408630,634845523,738195020,703212268,252998691,294185542,280244212,735028786,854687590,814184304,6.6166176000000005,7.014,6.2426,17.0,18.0
FITB,0,FITB,2024-12-31,7363269924.0,7894639919.0,7590999922.0,4854101957,4854101957,4854101958,3029201805,3029201805,3029201805,2376438142,2376438142,2376438142,4854101957,4854101957,4854101958,4.9739195309233715,5.172876312160306,4.82470194499567,7.0,9.0
FITB,1,FITB,2023-12-31,7352001308.0,7882558103.0,7579382791.0,5040542363,4723477722,4775999897,3145549920,2947685765,2980462223,2467714365,2312488020,2338201468,5040542363,4723477722,4775999897,3.6323570728259322,3.813974926467229,3.523386360641154,7.0,9.0
FITB,2,FITB,2022-12-31,7059818110.0,8077380000.0,7681300191.0,4824792666,4892961508,4802909291,3010911345,3053452104,2997255027,2362089100,2395462737,2351375586,4824792666,4892961508,4802909291,2.7056928000000005,3.465,2.156,11.0,13.0
FITB,3,FITB,2021-12-31,6921787110.0,7809120000.0,7565432044.0,4652559065,4792469499,4746351654,2903428985,2990740076,2961960241,2277768148,2346264544,2323686484,4652559065,4792469499,4746351654,1.9405092,2.625,1.02606,19.0,24.0
FITB,4,FITB,2020-12-31,7148900000.0,7829889240.0,7659258065.0,4882940021,4702413254,4830293571,3047198196,2934540487,3014344185,2390556486,2302175423,2364782196,4882940021,4702413254,4830293571,1.4434529999999999,1.7745,0.9506,19.0,24.0
FITB,5,FITB,2019-12-31,7512073820.0,8543520000.0,8136079629.0,4662857770,5009494619,4814313851,3093282566,3323237193,3193756669,2453370223,2635753766,2533059087,4659501586,5005888936,4810848654,2.8689845999999997,2.9819999999999998,2.7243999999999997,19.0,24.0
FITB,6,FITB,2018-12-31,6714835670.0,7108380000.0,7043824092.0,3732127800,3584141303,3706624035,2934285752,2817935324,2914234098,2147278597,2062134611,2132605013,3982315306,3824408364,3955101866,2.5516728,2.6460000000000004,2.41864,23.0,28.0
FITB,7,FITB,2017-12-31,6817160000.0,7514673540.0,7200365948.0,3431631929,3558431637,3448554305,2457685144,2548497260,2469804705,1721937915,1785563977,1730429293,4566975609,4735726567,4589496696,2.7229512,2.8979999999999997,2.5185999999999997,28.0,31.0
FITB,8,FITB,2016-12-31,6124580000.0,6510660000.0,6437111395.0,3559563245,3217771493,3472746591,2545620525,2301188262,2483533622,1842749403,1665807317,1797805311,4489548926,4058459298,4380050207,1.9194054000000003,2.0265,1.5484,30.0,34.0
FITB,9,FITB,2015-12-31,5690020000.0,6691200000.0,6129882161.0,2888537898,3049028938,2907219529,2026272866,2138855305,2039377795,1479738715,1561954983,1489308932,4020572985,4243961414,4046576059,1.6823982,1.7955,1.5778,32.0,38.0
MTB,0,MTB,2024-12-31,5556510439.0,5957495728.0,5728361277.0,3278413627,3278413627,3278413627,2368387665,2368387665,2368387665,1793680622,1793680621,1793680622,3388745754,3388745754,3388745754,16.481508196313996,17.140768524166557,15.987062950424576,7.0,9.0
MTB,1,MTB,2023-12-31,5600383238.0,6004534606.0,5773590967.0,3408500825,3261480403,3242916227,2462365104,2356154786,2342743676,1864853730,1784416143,1774259339,3523210922,3371242658,3352053721,14.039420329600308,14.741391346080324,13.618237719712297,7.0,9.0
MTB,2,MTB,2022-12-31,5450944100.0,6107760000.0,5906465446.0,3304911071,3314528301,3333208513,2387529918,2394477585,2407972522,1808177864,1813439627,1823659916,3416134947,3426075836,3445384714,12.0787718,13.902000000000001,10.682,10.0,12.0
MTB,3,MTB,2021-12-31,5449460000.0,6088380000.0,5854727740.0,3299024329,3295153555,3317855899,2383277225,2380480905,2396881505,1804957118,1802839347,1815260218,3410050091,3406049050,3429515421,9.8190685,12.778500000000001,7.0266,17.0,21.0
MTB,4,MTB,2020-12-31,5618240000.0,6284322000.0,6001800022.0,3329886023,3493694752,3380023133,2405572293,2523910800,2441792285,1821842121,1911464901,1849273060,3441950407,3611271975,3493774838,8.7846265,10.290000000000001,7.656739999999999,17.0,21.0
MTB,5,MTB,2019-12-31,5949155500.0,6342462000.0,6261036706.0,3307004304,3318426331,3310173625,2621576713,2630631349,2624089143,2004749889,2011674073,2006671173,3574600077,3586946350,3578025852,13.7094875,14.406,12.7988,16.0,20.0
MTB,6,MTB,2018-12-31,5691960000.0,6047376000.0,5984622415.0,3004127340,2999177665,3000362059,2448190703,2444157002,2445122215,1483651635,1481207133,1481792071,3485323357,3479580851,3480954959,12.654421300000001,13.9335,12.1128,19.0,23.0
MTB,7,MTB,2017-12-31,5402900000.0,5749740000.0,5687828823.0,2798270049,2798938181,2797439116,2186777962,2187300091,2186128609,1397136177,1397469766,1396721304,3439403290,3440224503,3438381975,9.2122706,9.975,8.8004,20.0,24.0
MTB,8,MTB,2016-12-31,5085710000.0,5410896000.0,5355501695.0,2453181430,2387725409,2417801275,1930247490,1878744442,1902409167,1244422566,1211218765,1226475315,3449648939,3357605077,3399897578,7.9263183999999995,8.5785,7.6342,23.0,27.0
MTB,9,MTB,2015-12-31,4412386440.0,4823212800.0,4714451547.0,2055116040,2105890872,2081617159,1687828615,1729529041,1709593492,1095841674,1122916143,1109972764,2891567291,2963007949,2928854611,7.6134305,8.2971,7.271599999999999,22.0,27.0
KEY,0,KEY,2024-12-31,6443785157.0,6908800581.0,6643077482.0,3748383480,3748383480,3748383480,2106512338,2106512338,2106512338,1788764433,1788764433,1788764433,4527647194,4527647194,4527647194,3.244384346824745,3.374159720697735,3.1470528164200027,8.0,10.0
KEY,1,KEY,2023-12-31,6430205261.0,6894240692.0,6629077589.0,3988246524,3567099712,3666105716,2241310302,2004634690,2060273972,1903229371,1702254086,1749500697,4817376152,4308675751,4428264437,2.352178980896361,2.469787929941179,2.28161361146947,8.0,10.0
KEY,2,KEY,2022-12-31,5986840000.0,7176720000.0,6714333807.0,3663621816,3775343493,3700800620,2058878073,2121663296,2079771776,1748315356,1801630009,1766057437,4425264150,4560212013,4470172178,1.7223833,2.205,1.3719999999999999,11.0,13.0
KEY,3,KEY,2021-12-31,5988780000.0,6966600000.0,6649034473.0,3547056636,3772200318,3675170020,1993370905,2119896898,2065367920,1692689339,1800130056,1753826270,4284465854,4556415393,4439213148,1.2610557000000002,1.8375000000000001,0.294,18.0,22.0
KEY,4,KEY,2020-12-31,6240010000.0,6825605400.0,6686459197.0,3637010370,3744477209,3706080616,2043923004,2104317097,2082739023,1735616121,1786900325,1768577103,4393120364,4522928836,4476549849,0.9054145,1.2705,0.5683999999999999,18.0,22.0
KEY,5,KEY,2019-12-31,6173080000.0,6558600000.0,6491461650.0,3552069592,3548307763,3545730044,2197475235,2195147993,2193553296,1861320376,1859349139,1857998388,4210414420,4205955369,4202899892,1.6714389000000003,1.848,1.5974,19.0,23.0
