,0
0,USB
1,TFC
2,PNC
3,FRC
4,FITB
5,SIVB
6,KEY
7,MTB
8,RF
9,CFG
10,HBAN
11,CBSH
12,CMA
13,FHN
14,ZION
15,SBNY
16,PB
17,WAL
18,CFR
19,PBCT
20,TCF
21,FCNCA
22,TFSL
23,BOKF
24,FFIN
25,SNV
26,NYCB
27,PNFP
28,BPOP
29,GBCI
30,UBSI
31,VLY
32,OZK
33,WBS
34,CBU
35,CIT
36,UMBF
37,WTFC
38,STL
39,UMPQ
40,HOMB
41,BOH
42,FNB
43,FHB
44,PACW
45,TCBI
46,PPBI
47,BKU
48,ONB
49,BXS
50,CVBF
51,HWC
52,IBTX
53,FIBK
54,ASB
55,ISBC
56,AUB
57,ABCB
58,CATY
59,COLB
60,INDB
61,IBKC
62,HTH
63,SFNC
64,UCBI
65,FULT
66,SFBS
67,AX
68,WSFS
69,WSBC
70,FRME
71,FBC
72,BANF
73,CADE
74,WAFD
75,FBP
76,LOB
77,RNST
78,CFFN
79,PRK
80,FMBI
81,FFBC
82,CLBK
83,TRMK
84,TOWN
85,FBK
86,NWBI
87,BANR
88,WABC
89,HTLF
90,SASR
91,SBCF
92,NBTB
93,LKFN
94,PFS
95,EGBN
96,HOPE
97,CASH
98,TBK
99,BUSE
100,VBTX
101,EFSC
102,CHCO
103,TCBK
104,TMP
105,NBHC
106,SBSI
107,SRCE
108,OCFC
109,FCF
110,FBNC
111,BRKL
112,SYBT
113,STBA
114,KRNY
115,OFG
116,BHLB
117,GABC
118,HFWA
119,FFWM
120,MBIN
121,EBSB
122,CNOB
123,HMST
124,TBBK
125,WASH
126,BANC
127,RBCAA
128,NCBS
129,FDEF
130,ABTX
131,HBNC
132,GSBC
133,LBAI
134,OBNK
135,BPFH
136,BMTC
137,SI
138,CTBI
139,BY
140,AMTB
141,NFBK
142,TRST
143,FBMS
144,HONE
145,QCRH
146,PFBC
147,CBTX
148,UVSP
149,CUBI
150,LBC
151,CAC
152,HTBK
153,FMBH
154,BFC
155,THFF
156,PEBO
157,BMRC
158,DCOM
159,CFB
160,CPF
161,CATC
162,HIFS
163,AROW
164,TSC
165,BDGE
166,WSBF
167,PGC
168,ALRS
169,CNBKA
170,FLIC
171,PUB
172,FFIC
173,BFST
174,AMAL
175,MBWM
176,CCBG
177,MSBI
178,MOFG
179,HBT
180,FCBC
181,IBCP
182,RRBI
183,FMNB
184,MCBS
185,BHB
186,BSRR
187,CCNE
188,BWB
189,SPFI
190,FISI
191,GNTY
192,HAFC
193,WTBA
194,EQBK
195,EBTC
196,ACBI
197,HTBI
198,RBB
199,RBNC
200,FDBC
201,OSBC
202,AMNB
203,CZNC
204,PFIS
205,STXB
206,MCB
207,CSTR
208,SMMF
209,SMBC
210,SONA
211,MCBC
212,FNLC
213,SMBK
214,CIVB
215,PBFS
216,CARE
217,INBK
218,PCSB
219,HBCP
220,FMAO
221,SFST
222,MVBF
223,CCB
224,COFS
225,HBMD
226,FCAP
227,NWFL
228,ACNB
229,TBNK
230,FSBW
231,GCBC
232,NRIM
233,PFBI
234,PFHD
235,TSBK
236,NKSH
237,FCBP
238,LCNB
239,ATLO
240,PVBC
241,MPB
242,UNTY
243,SBT
244,ORRF
245,PDLB
246,FRBK
247,CVCY
248,BCML
249,BCBP
250,PWOD
251,FRBA
252,NBN
253,ISTR
254,FVCB
255,RMBI
256,SBBX
257,FBIZ
258,ESSA
259,PKBK
260,WNEB
261,PCB
262,CBNK
263,FGBI
264,FCCY
265,LEVL
266,BPRN
267,SHBI
268,SLCT
269,CVLY
270,FNWB
271,TCFC
272,BOCH
273,CHMG
274,STND
275,FSFG
276,ESXB
277,EVBN
278,OVLY
279,PEBK
280,AUBN
281,HWBK
282,OFED
283,BWFG
284,CFFI
285,MYFW
286,ESQ
287,EBMT
288,ICBK
289,FNCB
290,MBCN
291,CBAN
292,SBFG
293,CALB
294,FCCO
295,MFNC
296,FRAF
297,PLBC
298,BFIN
299,RVSB
300,CBFV
301,UNB
302,MNSB
303,UBFO
304,MLVF
305,PMBC
306,BSBK
307,LARK
308,MRBK
309,CIZN
310,BSVN
311,DBCP
312,SAL
313,OVBC
314,FFNW
315,PBIP
316,OPBK
317,FUNC
318,PROV
319,CZWI
320,RBKB
321,RNDB
322,OPOF
323,CFBK
324,LMST
325,BKSC
326,SVBI
327,BRBS
328,UBOH
329,LSBK
330,HMNF
331,SSBI
332,SFBC
333,FFBW
334,FXNC
335,UBCP
336,GFED
337,CFBI
338,CWBC
339,RIVE
340,CLDB
341,IROQ
342,EMCF
343,AMRB
344,FBSS
345,KFFB
346,FSEA
347,ASRV
348,MSBF
349,PBHC
350,MGYR
351,FUSB
352,CBMB
353,BYFC
354,VBFC
355,BCOW
356,MSVB
357,HFBL
358,OTTW
359,ESBK
360,BCTF
361,HVBC
362,CNNB
363,EQFN
364,GLBZ
365,PNBK
366,WVFC
367,EFBI
368,CARV
369,WCFB
