,,date,deposits,assets,noninterestexpense,interestexpense,noninterestincome,stockholdersequity
USB,0,2019-12-31,361916000000.000000,495426000000.000000,12785000000.0,4442000000.0,9831000000.0,51853000000.0
USB,1,2019-09-30,359715000000.000000,487671000000.000000,9384000000.0,3394000000.0,7395000000.0,53517000000.0
USB,2,2019-06-30,353177000000.000000,481719000000.000000,6240000000.0,2238000000.0,4781000000.0,52913000000.0
USB,3,2019-03-31,348087000000.000000,475775000000.000000,3087000000.0,1092000000.0,2291000000.0,52057000000.0
USB,4,2018-12-31,345475000000.000000,467374000000.000000,12464000000.0,3254000000.0,9602000000.0,51029000000.0
USB,5,2018-09-30,331178000000.000000,464607000000.000000,9184000000.0,2246000000.0,7104000000.0,50375000000.0
USB,6,2018-06-30,340080000000.000000,461329000000.000000,6140000000.0,1374000000.0,4686000000.0,49628000000.0
USB,7,2018-03-31,344526000000.000000,460119000000.000000,3055000000.0,623000000.0,2272000000.0,49187000000.0
USB,8,2017-12-31,347215000000.000000,462040000000.000000,12945000000.0,2144000000.0,9611000000.0,49040000000.0
USB,9,2017-09-30,342589000000.000000,459227000000.000000,9006000000.0,1548000000.0,7170000000.0,48723000000.0
USB,10,2017-06-30,347262000000.000000,463844000000.000000,5967000000.0,969000000.0,4748000000.0,48320000000.0
USB,11,2017-03-31,336873000000.000000,449522000000.000000,2944000000.0,455000000.0,2329000000.0,47798000000.0
USB,12,2016-12-31,334590000000.000000,445964000000.000000,11676000000.0,1639000000.0,9577000000.0,47298000000.0
USB,13,2016-09-30,334595000000.000000,454134000000.000000,8672000000.0,1220000000.0,7146000000.0,47759000000.0
USB,14,2016-06-30,317590000000.000000,438463000000.000000,5741000000.0,793000000.0,4701000000.0,47390000000.0
USB,15,2016-03-31,306348000000.000000,428638000000.000000,2749000000.0,386000000.0,2149000000.0,46755000000.0
USB,16,2015-12-31,300400000000.000000,421853000000.000000,10931000000.0,1401000000.0,9092000000.0,46131000000.0
USB,17,2015-09-30,295264000000.000000,415943000000.000000,8122000000.0,1064000000.0,6752000000.0,45075000000.0
USB,18,2015-06-30,296848000000.000000,419075000000.000000,5347000000.0,715000000.0,4426000000.0,44537000000.0
USB,19,2015-03-31,286601000000.000000,410233000000.000000,2665000000.0,363000000.0,2154000000.0,44277000000.0
USB,20,2014-12-31,282733000000.000000,402529000000.000000,10715000000.0,1453000000.0,9164000000.0,43479000000.0
USB,21,2014-09-30,273097000000.000000,391284000000.000000,7911000000.0,1095000000.0,6794000000.0,43141000000.0
USB,22,2014-06-30,276262000000.000000,389065000000.000000,5297000000.0,730000000.0,4552000000.0,42700000000.0
USB,23,2014-03-31,260612000000.000000,371289000000.000000,2544000000.0,372000000.0,2108000000.0,42054000000.0
USB,24,2013-12-31,262123000000.000000,364021000000.000000,10274000000.0,1681000000.0,8774000000.0,41113000000.0
USB,25,2013-09-30,261716000000.000000,360681000000.000000,7592000000.0,1290000000.0,6618000000.0,40132000000.0
USB,26,2013-06-30,251568000000.000000,353415000000.000000,5027000000.0,880000000.0,4441000000.0,39683000000.0
USB,27,2013-03-31,248012000000.000000,355447000000.000000,2470000000.0,458000000.0,2165000000.0,39531000000.0
USB,28,2012-12-31,249183000000.000000,353855000000.000000,10456000000.0,2138000000.0,9319000000.0,38998000000.0
USB,29,2012-09-30,244232000000.000000,352253000000.000000,7770000000.0,1669000000.0,6990000000.0,38661000000.0
USB,30,2012-06-30,,,,,,
USB,31,2012-03-31,,,,,,
USB,32,2011-12-31,,,,,,
USB,33,2011-09-30,,,,,,
USB,34,2011-06-30,,,,,,
USB,35,2011-03-31,,,,,,
USB,36,2010-12-31,,,,,,
USB,37,2010-09-30,,,,,,
USB,38,2010-06-30,,,,,,
USB,39,2010-03-31,,,,,,
USB,40,2009-12-31,,,,,,
TFC,0,2019-12-31,334727000000.000000,473078000000.000000,7934000000.0,2096000000.0,2072000000.0,-1122000000.0
TFC,1,2019-09-30,162280000000.000000,236750000000.000000,5359000000.0,1511000000.0,3857000000.0,-18000000.0
TFC,2,2019-06-30,159521000000.000000,230872000000.000000,3519000000.0,993000000.0,2554000000.0,-18000000.0
TFC,3,2019-03-31,159766000000.000000,227683000000.000000,1768000000.0,477000000.0,1202000000.0,-18000000.0
TFC,4,2018-12-31,161199000000.000000,225697000000.000000,6932000000.0,1438000000.0,4876000000.0,-20000000.0
TFC,5,2018-09-30,154556000000.000000,222885000000.000000,5148000000.0,1007000000.0,3641000000.0,-17000000.0
TFC,6,2018-06-30,159475000000.000000,222681000000.000000,3406000000.0,625000000.0,2402000000.0,-18000000.0
TFC,7,2018-03-31,158196000000.000000,220729000000.000000,1686000000.0,288000000.0,1180000000.0,-17000000.0
TFC,8,2017-12-31,157371000000.000000,221642000000.000000,7444000000.0,839000000.0,4782000000.0,-15000000.0
TFC,9,2017-09-30,156135000000.000000,220340000000.000000,5589000000.0,585000000.0,3557000000.0,-13000000.0
TFC,10,2017-06-30,156968000000.000000,221192000000.000000,3844000000.0,355000000.0,2391000000.0,
TFC,11,2017-03-31,161333000000.000000,220501000000.000000,2102000000.0,166000000.0,1171000000.0,
TFC,12,2016-12-31,160234000000.000000,219276000000.000000,6721000000.0,745000000.0,4472000000.0,
TFC,13,2016-09-30,159915000000.000000,222622000000.000000,5053000000.0,565000000.0,3310000000.0,
TFC,14,2016-06-30,159238000000.000000,221859000000.000000,3342000000.0,380000000.0,2146000000.0,
TFC,15,2016-03-31,150500000000.000000,212405000000.000000,1545000000.0,192000000.0,1016000000.0,
TFC,16,2015-12-31,149124000000.000000,209947000000.000000,6266000000.0,735000000.0,4019000000.0,
TFC,17,2015-09-30,147827000000.000000,208809000000.000000,4669000000.0,544000000.0,3004000000.0,
TFC,18,2015-06-30,132783000000.000000,191017000000.000000,3075000000.0,358000000.0,2016000000.0,
TFC,19,2015-03-31,131229000000.000000,189228000000.000000,1422000000.0,181000000.0,997000000.0,
TFC,20,2014-12-31,129040000000.000000,186814000000.000000,5921000000.0,768000000.0,3784000000.0,
TFC,21,2014-09-30,130895000000.000000,187022000000.000000,4510000000.0,585000000.0,2780000000.0,
TFC,22,2014-06-30,131586000000.000000,188012000000.000000,2954000000.0,393000000.0,1844000000.0,
TFC,23,2014-03-31,127476000000.000000,184651000000.000000,1403000000.0,199000000.0,911000000.0,
TFC,24,2013-12-31,127475000000.000000,183010000000.000000,5837000000.0,891000000.0,3937000000.0,
TFC,25,2013-09-30,127484000000.000000,181050000000.000000,4381000000.0,687000000.0,2952000000.0,
TFC,26,2013-06-30,131079000000.000000,182735000000.000000,2910000000.0,465000000.0,2047000000.0,
TFC,27,2013-03-31,131352000000.000000,180837000000.000000,1414000000.0,237000000.0,1001000000.0,
TFC,28,2012-12-31,133075000000.000000,183872000000.000000,5828000000.0,1060000000.0,3820000000.0,
TFC,29,2012-09-30,130018000000.000000,182021000000.000000,4340000000.0,810000000.0,2800000000.0,
TFC,30,2012-06-30,126059000000.000000,178529000000.000000,2811000000.0,573000000.0,1837000000.0,
TFC,31,2012-03-31,124157000000.000000,174752000000.000000,1385000000.0,307000000.0,871000000.0,
TFC,32,2011-12-31,124939000000.000000,174579000000.000000,5802000000.0,1378000000.0,3113000000.0,
TFC,33,2011-09-30,117567000000.000000,167677000000.000000,4184000000.0,1061000000.0,2191000000.0,
TFC,34,2011-06-30,108064000000.000000,159310000000.000000,2767000000.0,727000000.0,1501000000.0,
TFC,35,2011-03-31,106913000000.000000,157039000000.000000,1372000000.0,391000000.0,714000000.0,
TFC,36,2010-03-31,113723000000.000000,163700000000.000000,1341000000.0,465000000.0,844000000.0,
TFC,37,2009-12-31,114965000000.000000,165764000000.000000,4931000000.0,2040000000.0,3934000000.0,
TFC,38,2009-09-30,114510000000.000000,165328000000.000000,,,,
TFC,39,2009-06-30,,,,,,14792000000.0
PNC,0,2020-03-31,305204000000.000000,445493000000.000000,2543000000.0,689000000.0,2006000000.0,49263000000.0
PNC,1,2019-12-31,288540000000.000000,410295000000.000000,10574000000.0,3797000000.0,7862000000.0,49314000000.0
PNC,2,2019-09-30,285583000000.000000,408916000000.000000,7812000000.0,2951000000.0,5741000000.0,49420000000.0
PNC,3,2019-06-30,273260000000.000000,405761000000.000000,5189000000.0,1952000000.0,3752000000.0,49340000000.0
PNC,4,2019-03-31,271221000000.000000,392837000000.000000,2578000000.0,953000000.0,1811000000.0,48536000000.0
PNC,5,2018-12-31,267839000000.000000,382315000000.000000,10296000000.0,2861000000.0,7411000000.0,47728000000.0
PNC,6,2018-09-30,264884000000.000000,380080000000.000000,7719000000.0,1983000000.0,5552000000.0,47058000000.0
PNC,7,2018-06-30,264885000000.000000,380711000000.000000,5111000000.0,1226000000.0,3661000000.0,46904000000.0
PNC,8,2018-03-31,264704000000.000000,379161000000.000000,2527000000.0,557000000.0,1750000000.0,46969000000.0
PNC,9,2017-12-31,265053000000.000000,380768000000.000000,10398000000.0,1706000000.0,7221000000.0,47513000000.0
PNC,10,2017-09-30,260735000000.000000,375191000000.000000,7337000000.0,1226000000.0,5306000000.0,46388000000.0
PNC,11,2017-06-30,259176000000.000000,372190000000.000000,4881000000.0,776000000.0,3526000000.0,46084000000.0
PNC,12,2017-03-31,260710000000.000000,370944000000.000000,2402000000.0,360000000.0,1724000000.0,45754000000.0
PNC,13,2016-12-31,257164000000.000000,366380000000.000000,9476000000.0,1261000000.0,6771000000.0,45699000000.0
PNC,14,2016-09-30,259895000000.000000,369348000000.000000,7035000000.0,938000000.0,5027000000.0,45707000000.0
PNC,15,2016-06-30,249778000000.000000,361335000000.000000,4641000000.0,625000000.0,3293000000.0,45558000000.0
PNC,16,2016-03-31,250359000000.000000,360985000000.000000,2281000000.0,309000000.0,1567000000.0,45130000000.0
PNC,17,2015-12-31,249002000000.000000,358493000000.000000,9463000000.0,1045000000.0,6947000000.0,44710000000.0
PNC,18,2015-09-30,244979000000.000000,362125000000.000000,7067000000.0,779000000.0,5186000000.0,44948000000.0
PNC,19,2015-06-30,239704000000.000000,353945000000.000000,4715000000.0,500000000.0,3473000000.0,44515000000.0
PNC,20,2015-03-31,236503000000.000000,350960000000.000000,2349000000.0,247000000.0,1659000000.0,45025000000.0
PNC,21,2014-12-31,232234000000.000000,345072000000.000000,9488000000.0,906000000.0,6850000000.0,44551000000.0
PNC,22,2014-09-30,226304000000.000000,334424000000.000000,6949000000.0,666000000.0,5000000000.0,44481000000.0
PNC,23,2014-06-30,222554000000.000000,327064000000.000000,4592000000.0,442000000.0,3263000000.0,44205000000.0
PNC,24,2014-03-31,222382000000.000000,323423000000.000000,2264000000.0,215000000.0,1582000000.0,43321000000.0
PNC,25,2013-12-31,220931000000.000000,320296000000.000000,9801000000.0,860000000.0,6865000000.0,42408000000.0
PNC,26,2013-09-30,216074000000.000000,308597000000.000000,7254000000.0,647000000.0,5058000000.0,41130000000.0
PNC,27,2013-06-30,212279000000.000000,304415000000.000000,4830000000.0,433000000.0,3372000000.0,40286000000.0
PNC,28,2013-03-31,211620000000.000000,300812000000.000000,2395000000.0,222000000.0,1566000000.0,39663000000.0
PNC,29,2012-12-31,213142000000.000000,305107000000.000000,10582000000.0,1094000000.0,5872000000.0,39003000000.0
PNC,30,2012-09-30,206263000000.000000,300803000000.000000,7753000000.0,847000000.0,4227000000.0,38683000000.0
PNC,31,2012-06-30,206923000000.000000,299575000000.000000,5103000000.0,576000000.0,2538000000.0,37005000000.0
PNC,32,2012-03-31,206127000000.000000,295883000000.000000,2455000000.0,306000000.0,1441000000.0,35045000000.0
PNC,33,2011-12-31,187966000000.000000,271205000000.000000,9105000000.0,1494000000.0,5626000000.0,34053000000.0
PNC,34,2011-09-30,187732000000.000000,269470000000.000000,6386000000.0,1159000000.0,4276000000.0,34219000000.0
PNC,35,2011-06-30,181891000000.000000,263117000000.000000,4246000000.0,804000000.0,2907000000.0,32235000000.0
PNC,36,2011-03-31,181990000000.000000,259378000000.000000,2070000000.0,407000000.0,1455000000.0,31132000000.0
PNC,37,2010-12-31,183390000000.000000,264284000000.000000,8613000000.0,1920000000.0,5946000000.0,30242000000.0
PNC,38,2010-03-31,182523000000.000000,265396000000.000000,2113000000.0,526000000.0,1384000000.0,26818000000.0
PNC,39,2009-12-31,186922000000.000000,269863000000.000000,9073000000.0,3003000000.0,7145000000.0,29942000000.0
PNC,40,2009-09-30,183809000000.000000,271407000000.000000,,,,28928000000.0
PNC,41,2009-06-30,190439000000.000000,279754000000.000000,,,,27294000000.0
SIVB,0,2019-09-30,59542874000.0,68231233000.0,1140510000.0,157740000.0,908135000.0,5890680000.0
SIVB,1,2019-06-30,55610540000.0,63773739000.0,749186000.0,94492000.0,614126000.0,5554043000.0
